,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Mate_Ebong,,"Travel lover. Entrepreneur. Soccer advocate.i sail🛥️, 
Ambassador",False,2022-02-11 07:31:24+00:00,"RT @yoda_xyz: The high-stakes battle for Uttar Pradesh kicked off today. What will the Jat-dominant belt of the western UP vote for?

Predi…",,Twitter for Android
1,Sameera Khan,India,"Indep Journo. Writer. Researcher. Teacher. Reader. Traveller. List-maker. Alumni @columbiajourn  Loiterer. @whyloiter  ex-Columnist, Hindu MetroPlus",False,2022-02-11 07:29:03+00:00,#UPElection - important context https://t.co/TcVK8qyJiQ,['UPElection'],Twitter for Android
2,seemaverma, India ,Ex Navy,False,2022-02-11 07:23:58+00:00,"RT @pencilashan: Yogi says vote for BJP in UP, otherwise it would become like Kerala.

It looks less like a warning, and more like a good o…",,Twitter for Android
3,Lucifer,riyadh saudi arabia,,False,2022-02-11 07:23:07+00:00,"RT @RubinaAfaqueIND: SP leader Vipin Manothia was beaten up by BJP workers at the polling station in Meerut, Uttar Pradesh, the police rema…",,Twitter for Android
4,shabbir,,,False,2022-02-11 07:02:24+00:00,"RT @RubinaAfaqueIND: SP leader Vipin Manothia was beaten up by BJP workers at the polling station in Meerut, Uttar Pradesh, the police rema…",,Twitter for Android
5,SRK,INDAI - UNITED,For Logical Social Justice & Welfare (आंदोलनजीवी),False,2022-02-11 06:56:04+00:00,"Vote unitedly to route out BJP first in #AssemblyElections2022 followed by 2024.

#RLD #SamajwadiParty #Mayawati #Congress #AIMIM #jayantchaudhary #Akhilesh #UPElections #UttarPradeshElections2022 #UPElections2022 #UPElection https://t.co/nBvgnwUZNI","['AssemblyElections2022', 'RLD', 'SamajwadiParty', 'Mayawati']",Twitter Web App
6,SRK,INDAI - UNITED,For Logical Social Justice & Welfare (आंदोलनजीवी),False,2022-02-11 06:55:28+00:00,"Vote unitedly to route out BJP first in #AssemblyElections2022 followed by 2024.

#RLD #SamajwadiParty #Mayawati #Congress #AIMIM #jayantchaudhary #Akhilesh #UPElections #UttarPradeshElections2022 #UPElections2022 #UPElection #UPElection2022 https://t.co/EAh25AK57f","['AssemblyElections2022', 'RLD', 'SamajwadiParty', 'Mayawati']",Twitter Web App
7,SRK,INDAI - UNITED,For Logical Social Justice & Welfare (आंदोलनजीवी),False,2022-02-11 06:55:10+00:00,"Vote unitedly to route out BJP first in #AssemblyElections2022 followed by 2024.

#RLD #SamajwadiParty #Mayawati #Congress #AIMIM #jayantchaudhary #Akhilesh #UPElections #UttarPradeshElections2022 #UPElections2022 #UPElection #UPElection2022 #abdullahazam https://t.co/x4ncrNAQv5","['AssemblyElections2022', 'RLD', 'SamajwadiParty', 'Mayawati']",Twitter Web App
8,SRK,INDAI - UNITED,For Logical Social Justice & Welfare (आंदोलनजीवी),False,2022-02-11 06:54:23+00:00,"Vote unitedly to route out BJP first in #AssemblyElections2022 followed by 2024.

#RLD #SamajwadiParty #Mayawati #Congress #AIMIM #jayantchaudhary #Akhilesh #UPElections #UttarPradeshElections2022 #UPElections2022 #UPElection #UPElection2022 #abdullahazam #बिजनौर https://t.co/oQfnVK0J3q","['AssemblyElections2022', 'RLD', 'SamajwadiParty', 'Mayawati']",Twitter Web App
9,SRK,INDAI - UNITED,For Logical Social Justice & Welfare (आंदोलनजीवी),False,2022-02-11 06:53:58+00:00,"Vote unitedly to route out BJP first in #AssemblyElections2022 followed by 2024.

#RLD #SamajwadiParty #Mayawati #Congress #AIMIM #jayantchaudhary #Akhilesh #UPElections #UttarPradeshElections2022 #UPElections2022 #UPElection #UPElection2022 #abdullahazam #बिजनौर #Yogi https://t.co/B5h4ojXvFw","['AssemblyElections2022', 'RLD', 'SamajwadiParty', 'Mayawati']",Twitter Web App
10,Nagma Farhaan,,,False,2022-02-11 06:51:41+00:00,"RT @Sarangsspeaks: Yogi Adityanath owns a revolver and a rifle as per his affidavit.

 If he is a Yogi then why does he need weapons?

#Yog…",,Twitter for Android
